-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  49.479   Longitude 11.1906 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 425.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                    MERRA-2 Surface Pressure (kPa) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
WD50M                 MERRA-2 Wind Direction at 50 Meters (Degrees) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS50M,ALLSKY_SFC_SW_DWN,WD50M,T2M
2023,1,3,7,97.74,4.17,0.0,273.22,4.62
2023,1,3,8,97.78,4.1,13.12,271.53,4.55
2023,1,3,9,97.82,3.85,66.66,269.77,5.23
2023,1,3,10,97.84,3.69,145.19,268.18,5.99
2023,1,3,11,97.85,3.84,201.84,267.43,6.56
2023,1,3,12,97.83,4.01,235.58,265.31,7.11
2023,1,3,13,97.83,4.01,222.88,263.18,7.44
2023,1,3,14,97.83,3.75,156.07,260.52,7.35
2023,1,3,15,97.84,3.53,83.66,254.98,5.98
2023,1,3,16,97.86,3.65,8.38,249.04,4.31
2023,1,3,17,97.88,3.81,0.0,242.38,3.66
2023,1,3,18,97.9,3.85,0.0,235.92,3.12
2023,1,3,19,97.91,4.03,0.0,232.49,2.71
2023,1,3,20,97.92,4.23,0.0,232.28,2.31
2023,1,3,21,97.91,4.31,0.0,229.85,2.06
2023,1,3,22,97.89,4.37,0.0,223.84,1.85
2023,1,3,23,97.86,4.68,0.0,214.67,1.36
2023,1,4,0,97.82,5.32,0.0,206.11,0.66
2023,1,4,1,97.77,6.18,0.0,201.8,-0.01
2023,1,4,2,97.74,7.05,0.0,205.12,0.18
2023,1,4,3,97.7,7.25,0.0,213.43,1.73
2023,1,4,4,97.64,6.59,0.0,215.93,2.16
2023,1,4,5,97.59,6.32,0.0,213.4,2.17
2023,1,4,6,97.55,6.72,0.0,213.14,2.22
2023,1,4,7,97.52,7.27,0.0,212.77,2.12
2023,1,4,8,97.49,7.56,12.37,211.13,2.01
2023,1,4,9,97.45,8.07,46.98,214.63,2.39
2023,1,4,10,97.38,8.86,46.6,220.46,3.56
2023,1,4,11,97.31,10.69,79.65,230.78,4.8
2023,1,4,12,97.23,11.51,103.38,235.85,5.4
2023,1,4,13,97.15,11.84,52.68,238.05,5.96
2023,1,4,14,97.08,12.18,36.94,240.9,6.51
2023,1,4,15,97.05,12.36,15.33,241.7,6.83
2023,1,4,16,97.01,12.81,6.62,240.39,7.03
2023,1,4,17,96.93,13.39,0.0,239.31,7.17
2023,1,4,18,96.88,13.66,0.0,240.46,7.17
2023,1,4,19,96.85,13.75,0.0,244.42,7.18
2023,1,4,20,96.85,14.32,0.0,249.96,7.44
2023,1,4,21,96.83,14.39,0.0,253.41,7.8
2023,1,4,22,96.8,14.35,0.0,254.01,7.98
2023,1,4,23,96.76,14.46,0.0,254.03,8.06
2023,1,5,0,96.72,14.46,0.0,254.49,8.2
2023,1,5,1,96.68,14.55,0.0,256.75,8.4
2023,1,5,2,96.66,14.04,0.0,257.08,8.48
2023,1,5,3,96.62,13.13,0.0,255.56,8.4
2023,1,5,4,96.61,12.99,0.0,258.66,8.33
2023,1,5,5,96.62,12.81,0.0,264.29,8.33
2023,1,5,6,96.66,12.93,0.0,271.04,8.36
2023,1,5,7,96.71,12.67,0.0,274.99,8.26
2023,1,5,8,96.76,12.34,10.15,278.08,8.12
2023,1,5,9,96.82,11.95,62.53,278.84,8.12
2023,1,5,10,96.86,11.8,122.02,278.68,8.58
2023,1,5,11,96.89,12.59,145.07,278.99,9.09
2023,1,5,12,96.91,12.69,155.44,280.32,9.31
2023,1,5,13,96.93,12.17,149.93,280.31,9.26
2023,1,5,14,96.96,10.97,113.74,278.56,8.87
2023,1,5,15,97.0,10.27,43.8,275.76,8.11
2023,1,5,16,97.05,10.24,7.41,274.46,7.07
2023,1,5,17,97.09,10.1,0.0,274.75,6.47
2023,1,5,18,97.13,9.43,0.0,275.04,6.33
2023,1,5,19,97.16,8.79,0.0,275.25,6.22
2023,1,5,20,97.18,8.13,0.0,275.12,6.13
2023,1,5,21,97.19,7.41,0.0,273.26,6.12
2023,1,5,22,97.18,6.58,0.0,265.98,6.02
2023,1,5,23,97.17,6.72,0.0,259.55,6.44
2023,1,6,0,97.16,7.45,0.0,259.61,7.05
2023,1,6,1,97.14,7.75,0.0,260.6,7.33
2023,1,6,2,97.13,7.64,0.0,260.76,7.43
2023,1,6,3,97.1,7.32,0.0,258.8,7.43
2023,1,6,4,97.08,7.23,0.0,256.25,7.15
2023,1,6,5,97.05,7.07,0.0,251.91,7.01
2023,1,6,6,97.03,6.85,0.0,246.42,6.8
2023,1,6,7,97.02,6.93,0.0,244.42,6.83
2023,1,6,8,97.03,6.93,13.13,243.64,7.15
2023,1,6,9,97.03,6.91,49.91,244.33,7.74
2023,1,6,10,97.04,6.95,64.53,249.18,8.45
2023,1,6,11,97.04,8.33,84.1,258.43,8.96
2023,1,6,12,97.02,9.31,98.12,263.54,9.24
2023,1,6,13,97.0,9.05,70.48,266.49,9.18
2023,1,6,14,97.0,7.99,67.62,266.86,8.62
2023,1,6,15,97.02,7.2,46.37,264.9,7.88
2023,1,6,16,97.03,7.16,7.39,260.58,6.92
2023,1,6,17,97.06,7.27,0.0,257.59,6.97
2023,1,6,18,97.08,7.04,0.0,254.82,7.06
2023,1,6,19,97.12,6.65,0.0,251.65,7.09
2023,1,6,20,97.13,6.47,0.0,248.98,6.92
2023,1,6,21,97.14,6.04,0.0,244.66,6.77
2023,1,6,22,97.13,5.54,0.0,240.07,6.49
2023,1,6,23,97.12,5.27,0.0,236.92,6.24
2023,1,7,0,97.11,5.15,0.0,234.02,6.06
2023,1,7,1,97.07,5.07,0.0,229.69,5.84
2023,1,7,2,97.06,4.96,0.0,224.43,5.61
2023,1,7,3,97.02,4.86,0.0,216.63,5.42
2023,1,7,4,96.99,4.85,0.0,206.52,5.39
2023,1,7,5,96.95,5.1,0.0,196.3,5.35
2023,1,7,6,96.91,5.53,0.0,188.37,5.3
2023,1,7,7,96.87,5.92,0.0,183.48,5.27
2023,1,7,8,96.84,6.08,12.55,180.07,5.36
2023,1,7,9,96.82,5.49,70.91,176.73,6.6
2023,1,7,10,96.78,5.27,65.36,173.11,7.52
2023,1,7,11,96.71,5.76,108.6,175.72,8.19
2023,1,7,12,96.63,5.54,137.21,180.08,8.59
2023,1,7,13,96.56,5.33,113.59,185.3,8.83
2023,1,7,14,96.5,5.26,105.79,189.74,8.75
2023,1,7,15,96.48,5.67,70.57,186.57,7.34
2023,1,7,16,96.45,6.64,8.8,181.96,4.47
2023,1,7,17,96.43,7.26,0.0,180.62,3.69
2023,1,7,18,96.41,7.6,0.0,180.82,3.28
2023,1,7,19,96.39,7.93,0.0,182.65,2.94
2023,1,7,20,96.36,8.17,0.0,186.21,2.64
2023,1,7,21,96.33,8.24,0.0,189.27,2.42
2023,1,7,22,96.28,8.36,0.0,190.99,2.35
2023,1,7,23,96.24,8.25,0.0,193.3,2.53
2023,1,8,0,96.19,7.67,0.0,196.09,2.62
2023,1,8,1,96.12,7.1,0.0,196.3,2.31
2023,1,8,2,96.08,6.85,0.0,193.53,2.03
2023,1,8,3,96.04,6.78,0.0,193.6,1.98
2023,1,8,4,96.02,6.93,0.0,193.57,1.73
2023,1,8,5,96.01,6.99,0.0,198.9,1.6
2023,1,8,6,96.0,6.7,0.0,196.68,1.5
2023,1,8,7,95.94,6.63,0.0,186.77,1.84
2023,1,8,8,95.92,6.95,11.41,181.29,2.33
2023,1,8,9,95.9,7.18,43.3,185.12,3.08
2023,1,8,10,95.9,7.35,58.3,194.52,3.87
2023,1,8,11,95.84,7.19,84.45,197.53,4.93
2023,1,8,12,95.78,6.93,64.7,200.19,5.97
2023,1,8,13,95.74,7.38,68.51,204.86,5.91
2023,1,8,14,95.66,7.16,93.41,204.83,5.93
2023,1,8,15,95.61,6.72,49.62,199.97,5.44
2023,1,8,16,95.58,7.08,8.11,194.17,3.76
2023,1,8,17,95.51,7.06,0.0,183.24,3.72
2023,1,8,18,95.47,7.46,0.0,173.93,3.69
2023,1,8,19,95.4,8.02,0.0,161.85,2.83
2023,1,8,20,95.32,8.18,0.0,152.97,2.29
2023,1,8,21,95.26,7.78,0.0,148.8,1.69
2023,1,8,22,95.18,7.16,0.0,142.54,1.38
2023,1,8,23,95.1,6.9,0.0,140.79,1.3
2023,1,9,0,95.0,6.53,0.0,137.72,1.34
2023,1,9,1,94.9,6.52,0.0,139.67,1.3
2023,1,9,2,94.85,6.74,0.0,150.11,1.39
2023,1,9,3,94.78,6.6,0.0,161.93,1.55
2023,1,9,4,94.75,6.74,0.0,185.52,2.13
2023,1,9,5,94.78,8.27,0.0,220.87,3.44
2023,1,9,6,94.84,10.46,0.0,244.41,4.46
2023,1,9,7,94.95,11.8,0.0,259.66,4.57
2023,1,9,8,95.06,11.56,12.29,264.77,4.35
2023,1,9,9,95.15,10.87,57.52,260.28,4.38
2023,1,9,10,95.22,10.74,111.42,257.65,4.63
2023,1,9,11,95.23,10.03,131.38,254.69,5.41
2023,1,9,12,95.22,8.88,113.9,249.83,5.62
2023,1,9,13,95.2,7.69,110.72,245.91,5.7
2023,1,9,14,95.22,7.49,80.06,248.6,5.92
2023,1,9,15,95.27,7.43,45.32,249.78,5.25
2023,1,9,16,95.33,7.7,8.37,248.27,4.19
2023,1,9,17,95.4,7.39,0.0,246.5,3.77
2023,1,9,18,95.46,7.6,0.0,249.66,3.53
2023,1,9,19,95.53,8.34,0.0,257.28,3.39
2023,1,9,20,95.58,8.61,0.0,262.49,2.99
2023,1,9,21,95.64,8.8,0.0,267.0,2.9
2023,1,9,22,95.72,8.04,0.0,269.5,2.87
2023,1,9,23,95.82,7.33,0.0,273.48,2.95
2023,1,10,0,95.91,7.18,0.0,279.21,2.98
2023,1,10,1,95.99,7.6,0.0,285.01,2.96
2023,1,10,2,96.08,8.1,0.0,289.03,2.98
2023,1,10,3,96.17,8.12,0.0,289.67,3.08
2023,1,10,4,96.27,8.33,0.0,289.91,3.21
2023,1,10,5,96.38,8.31,0.0,289.56,3.0
2023,1,10,6,96.5,8.41,0.0,289.7,2.94
2023,1,10,7,96.61,8.04,0.0,286.43,2.56
2023,1,10,8,96.71,8.37,13.52,283.78,2.47
2023,1,10,9,96.81,7.98,105.34,279.92,2.71
2023,1,10,10,96.91,8.23,110.78,276.32,2.84
2023,1,10,11,96.99,8.65,129.45,273.31,3.07
2023,1,10,12,97.02,8.52,97.66,270.37,3.56
2023,1,10,13,97.0,8.22,93.23,267.71,4.0
2023,1,10,14,97.02,7.89,75.82,266.03,3.98
2023,1,10,15,97.02,6.77,51.19,262.7,3.3
2023,1,10,16,97.02,6.51,9.35,257.1,2.12
2023,1,10,17,97.01,6.22,0.0,246.78,1.94
2023,1,10,18,97.0,6.05,0.0,231.98,1.68
2023,1,10,19,96.98,6.57,0.0,217.56,1.37
2023,1,10,20,96.95,7.35,0.0,207.9,0.86
2023,1,10,21,96.91,7.82,0.0,201.82,0.42
2023,1,10,22,96.86,7.92,0.0,201.05,0.59
2023,1,10,23,96.81,7.54,0.0,200.37,0.67
2023,1,11,0,96.76,7.56,0.0,199.69,0.73
2023,1,11,1,96.72,8.2,0.0,211.36,1.53
2023,1,11,2,96.7,8.24,0.0,218.03,2.09
2023,1,11,3,96.66,8.11,0.0,224.06,2.44
2023,1,11,4,96.61,8.14,0.0,228.46,2.93
2023,1,11,5,96.55,8.43,0.0,227.82,3.44
2023,1,11,6,96.5,8.53,0.0,224.07,3.84
2023,1,11,7,96.46,9.38,0.0,228.28,4.28
2023,1,11,8,96.46,9.09,12.42,228.83,4.44
2023,1,11,9,96.46,8.54,51.4,229.75,4.97
2023,1,11,10,96.46,8.46,75.84,228.3,5.87
2023,1,11,11,96.41,8.01,81.54,224.68,6.59
2023,1,11,12,96.36,8.49,67.16,226.34,6.83
2023,1,11,13,96.31,7.91,49.73,220.83,6.72
2023,1,11,14,96.29,7.58,38.61,224.5,6.6
2023,1,11,15,96.31,7.66,23.8,238.94,6.51
2023,1,11,16,96.37,8.84,8.81,259.31,6.56
2023,1,11,17,96.44,8.5,0.0,263.19,6.64
2023,1,11,18,96.5,9.07,0.0,267.78,6.63
2023,1,11,19,96.58,9.12,0.0,267.2,6.18
2023,1,11,20,96.64,8.61,0.0,262.49,5.76
2023,1,11,21,96.67,8.24,0.0,254.11,5.27
2023,1,11,22,96.7,8.5,0.0,249.22,4.83
2023,1,11,23,96.75,9.08,0.0,251.07,4.74
2023,1,12,0,96.79,9.15,0.0,251.33,4.76
2023,1,12,1,96.78,8.42,0.0,240.56,4.58
2023,1,12,2,96.79,8.83,0.0,233.71,4.6
2023,1,12,3,96.77,9.6,0.0,231.11,4.67
2023,1,12,4,96.73,10.3,0.0,231.56,4.59
2023,1,12,5,96.69,10.89,0.0,233.87,4.61
2023,1,12,6,96.67,11.24,0.0,235.14,4.6
2023,1,12,7,96.66,11.53,0.0,233.43,4.55
2023,1,12,8,96.64,11.68,14.33,231.71,4.64
2023,1,12,9,96.61,11.65,54.09,230.49,5.28
2023,1,12,10,96.58,11.74,102.61,230.35,6.3
2023,1,12,11,96.55,12.41,119.15,230.75,7.22
2023,1,12,12,96.48,13.15,121.06,232.8,7.38
2023,1,12,13,96.43,13.59,97.91,236.32,7.23
2023,1,12,14,96.41,13.53,58.55,239.42,7.18
2023,1,12,15,96.4,13.31,31.73,240.92,7.22
2023,1,12,16,96.4,13.07,9.48,240.82,7.15
2023,1,12,17,96.39,12.92,0.0,240.35,7.12
2023,1,12,18,96.39,12.86,0.0,240.8,7.12
2023,1,12,19,96.39,12.66,0.0,241.32,7.08
2023,1,12,20,96.38,12.35,0.0,241.42,7.0
2023,1,12,21,96.34,12.23,0.0,241.59,6.98
2023,1,12,22,96.29,12.02,0.0,241.47,6.94
2023,1,12,23,96.25,11.85,0.0,240.49,6.89
2023,1,13,0,96.21,12.07,0.0,240.07,6.9
2023,1,13,1,96.18,12.19,0.0,241.32,7.07
2023,1,13,2,96.13,11.98,0.0,240.19,7.14
2023,1,13,3,96.09,11.97,0.0,239.27,7.14
2023,1,13,4,96.07,11.92,0.0,237.55,7.23
2023,1,13,5,96.03,11.85,0.0,235.01,7.26
2023,1,13,6,96.0,11.0,0.0,231.89,7.04
2023,1,13,7,95.98,10.06,0.0,227.01,6.97
2023,1,13,8,95.98,10.17,13.99,227.09,7.15
2023,1,13,9,96.0,10.71,55.69,231.37,7.34
2023,1,13,10,96.02,11.04,80.88,238.1,7.18
2023,1,13,11,96.04,10.98,135.78,247.05,7.17
2023,1,13,12,96.07,12.08,168.22,259.53,8.07
2023,1,13,13,96.1,12.65,145.51,265.72,8.39
2023,1,13,14,96.15,12.31,112.52,264.79,7.88
2023,1,13,15,96.21,11.87,61.73,260.61,6.89
2023,1,13,16,96.28,11.78,12.17,256.18,5.55
2023,1,13,17,96.37,11.96,0.0,252.67,4.98
2023,1,13,18,96.44,11.96,0.0,250.5,4.67
2023,1,13,19,96.5,11.97,0.0,251.15,4.62
2023,1,13,20,96.56,11.97,0.0,252.96,4.69
2023,1,13,21,96.59,11.95,0.0,254.56,4.62
2023,1,13,22,96.64,11.84,0.0,255.75,4.44
2023,1,13,23,96.68,11.3,0.0,256.68,4.21
2023,1,14,0,96.72,10.86,0.0,256.43,3.89
2023,1,14,1,96.79,10.38,0.0,255.4,3.51
2023,1,14,2,96.83,10.07,0.0,253.83,3.26
2023,1,14,3,96.84,9.75,0.0,251.07,3.08
2023,1,14,4,96.86,8.95,0.0,247.89,2.86
2023,1,14,5,96.86,8.61,0.0,242.48,2.88
2023,1,14,6,96.84,7.97,0.0,235.02,2.97
2023,1,14,7,96.84,7.64,0.0,228.03,3.12
2023,1,14,8,96.83,7.53,18.28,222.9,3.33
2023,1,14,9,96.81,7.33,64.2,214.23,3.85
2023,1,14,10,96.74,7.2,125.65,205.31,4.63
2023,1,14,11,96.64,7.63,141.02,198.82,5.32
2023,1,14,12,96.54,7.55,121.19,191.46,5.55
2023,1,14,13,96.43,7.86,105.87,180.68,5.51
2023,1,14,14,96.31,8.84,63.1,177.01,5.43
2023,1,14,15,96.18,9.72,30.35,174.65,5.26
2023,1,14,16,96.06,10.42,9.48,178.32,5.05
2023,1,14,17,95.97,10.4,0.0,185.95,4.98
2023,1,14,18,95.88,9.93,0.0,196.22,4.94
2023,1,14,19,95.83,9.65,0.0,208.91,4.82
2023,1,14,20,95.78,9.71,0.0,214.18,4.79
2023,1,14,21,95.72,9.9,0.0,214.23,4.96
2023,1,14,22,95.65,11.68,0.0,221.18,5.67
2023,1,14,23,95.59,13.09,0.0,225.41,6.24
2023,1,15,0,95.51,13.47,0.0,226.29,6.58
2023,1,15,1,95.42,13.68,0.0,226.53,6.73
2023,1,15,2,95.35,13.69,0.0,226.16,6.87
2023,1,15,3,95.28,13.55,0.0,226.8,7.09
2023,1,15,4,95.22,13.67,0.0,229.36,7.35
2023,1,15,5,95.2,13.85,0.0,232.4,7.58
2023,1,15,6,95.17,13.19,0.0,234.96,7.73
2023,1,15,7,95.14,11.25,0.0,243.52,7.82
2023,1,15,8,95.17,10.01,13.44,265.66,7.46
2023,1,15,9,95.28,9.86,45.63,286.48,6.23
2023,1,15,10,95.4,8.3,38.73,287.41,4.88
2023,1,15,11,95.48,8.54,49.21,272.04,4.69
2023,1,15,12,95.53,9.62,91.5,262.01,4.65
2023,1,15,13,95.56,10.27,89.26,257.13,4.46
2023,1,15,14,95.62,10.32,43.88,253.97,4.09
2023,1,15,15,95.65,10.45,43.28,251.02,3.51
2023,1,15,16,95.68,10.77,12.71,247.4,3.01
2023,1,15,17,95.71,11.02,0.0,243.8,2.48
2023,1,15,18,95.74,10.93,0.0,239.84,2.09
2023,1,15,19,95.74,10.52,0.0,235.59,1.73
2023,1,15,20,95.72,9.88,0.0,230.46,1.26
2023,1,15,21,95.7,9.45,0.0,223.66,0.71
2023,1,15,22,95.64,8.94,0.0,217.86,0.3
2023,1,15,23,95.58,8.73,0.0,215.08,0.05
2023,1,16,0,95.49,8.1,0.0,215.22,-0.2
2023,1,16,1,95.41,7.13,0.0,209.99,-0.37
2023,1,16,2,95.31,6.54,0.0,198.95,-0.68
2023,1,16,3,95.2,6.21,0.0,193.32,-0.99
2023,1,16,4,95.09,6.33,0.0,190.95,-1.2
2023,1,16,5,94.99,6.38,0.0,184.22,-1.43
2023,1,16,6,94.9,6.91,0.0,172.79,-1.74
2023,1,16,7,94.82,7.69,0.0,166.78,-2.13
2023,1,16,8,94.74,8.23,24.38,162.55,-2.13
2023,1,16,9,94.63,7.71,106.2,153.9,-0.94
2023,1,16,10,94.52,7.54,217.77,144.88,1.04
2023,1,16,11,94.36,8.47,212.52,140.32,3.09
2023,1,16,12,94.14,10.53,192.34,140.48,4.65
2023,1,16,13,93.97,10.55,133.87,141.7,5.1
2023,1,16,14,93.85,9.89,86.11,149.22,4.71
2023,1,16,15,93.78,9.73,28.52,158.13,3.6
2023,1,16,16,93.71,9.69,12.37,162.3,2.78
2023,1,16,17,93.66,9.81,0.0,171.35,2.42
2023,1,16,18,93.62,11.93,0.0,197.53,2.73
2023,1,16,19,93.56,14.13,0.0,206.71,2.78
2023,1,16,20,93.49,14.89,0.0,212.61,2.42
2023,1,16,21,93.45,14.52,0.0,221.27,2.16
2023,1,16,22,93.46,13.85,0.0,231.25,1.94
2023,1,16,23,93.5,13.72,0.0,236.75,1.72
2023,1,17,0,93.53,13.62,0.0,242.13,1.34
2023,1,17,1,93.59,13.17,0.0,248.17,1.04
2023,1,17,2,93.65,12.15,0.0,251.37,0.77
2023,1,17,3,93.71,11.07,0.0,252.75,0.41
2023,1,17,4,93.77,10.21,0.0,253.23,-0.02
2023,1,17,5,93.81,9.4,0.0,254.17,-0.24
2023,1,17,6,93.85,8.4,0.0,254.03,-0.64
2023,1,17,7,93.88,7.24,0.0,251.12,-2.28
2023,1,17,8,93.9,5.99,21.52,249.23,-2.26
2023,1,17,9,93.89,4.46,123.69,252.26,-0.4
2023,1,17,10,93.9,3.85,226.63,265.23,1.14
2023,1,17,11,93.88,2.79,268.91,256.24,2.19
2023,1,17,12,93.86,2.26,288.38,215.45,2.75
2023,1,17,13,93.81,1.96,265.77,177.26,2.94
2023,1,17,14,93.75,1.96,198.04,120.45,2.68
2023,1,17,15,93.7,3.7,105.27,85.4,1.34
2023,1,17,16,93.66,5.69,18.41,78.83,-1.59
2023,1,17,17,93.67,6.53,0.0,76.51,-2.67
2023,1,17,18,93.67,7.01,0.0,66.06,-2.67
2023,1,17,19,93.65,7.83,0.0,57.34,-2.04
2023,1,17,20,93.64,7.8,0.0,55.16,-1.56
2023,1,17,21,93.64,7.2,0.0,52.89,-1.52
2023,1,17,22,93.62,6.66,0.0,47.47,-1.58
2023,1,17,23,93.61,6.02,0.0,43.42,-1.63
2023,1,18,0,93.6,5.16,0.0,39.59,-1.7
2023,1,18,1,93.6,4.24,0.0,42.61,-1.77
2023,1,18,2,93.62,3.36,0.0,43.49,-1.88
2023,1,18,3,93.65,2.75,0.0,27.44,-2.0
2023,1,18,4,93.68,2.91,0.0,5.85,-2.09
2023,1,18,5,93.7,3.55,0.0,1.26,-2.27
2023,1,18,6,93.72,3.95,0.0,359.89,-2.28
2023,1,18,7,93.78,4.15,0.0,352.75,-2.27
2023,1,18,8,93.85,4.17,18.73,339.97,-1.65
2023,1,18,9,93.93,4.32,25.23,328.75,-0.85
2023,1,18,10,94.03,4.77,46.89,326.91,-0.35
2023,1,18,11,94.14,5.41,65.54,322.75,-0.02
2023,1,18,12,94.23,6.31,64.44,319.17,0.17
2023,1,18,13,94.33,7.11,47.62,318.7,0.17
2023,1,18,14,94.43,7.31,51.01,318.94,-0.01
2023,1,18,15,94.55,6.4,32.35,315.99,-0.42
2023,1,18,16,94.66,6.34,12.34,314.3,-1.75
2023,1,18,17,94.77,6.14,0.0,314.07,-2.59
2023,1,18,18,94.89,5.64,0.0,312.64,-3.06
2023,1,18,19,95.0,5.24,0.0,309.07,-3.72
2023,1,18,20,95.08,5.14,0.0,303.91,-4.2
2023,1,18,21,95.15,5.14,0.0,298.63,-4.67
2023,1,18,22,95.22,5.13,0.0,293.99,-4.99
2023,1,18,23,95.28,5.13,0.0,288.82,-5.28
2023,1,19,0,95.31,5.02,0.0,282.13,-5.44
2023,1,19,1,95.36,4.47,0.0,273.61,-4.93
2023,1,19,2,95.41,3.87,0.0,263.97,-4.7
2023,1,19,3,95.44,3.82,0.0,257.73,-4.75
2023,1,19,4,95.46,3.79,0.0,251.38,-4.93
2023,1,19,5,95.46,4.05,0.0,250.17,-4.85
2023,1,19,6,95.48,4.91,0.0,257.78,-4.45
2023,1,19,7,95.51,5.02,0.0,256.31,-3.92
2023,1,19,8,95.56,4.92,22.06,248.98,-3.02
2023,1,19,9,95.62,5.78,99.89,252.47,-1.39
2023,1,19,10,95.66,6.4,148.24,254.93,-0.45
2023,1,19,11,95.67,6.48,168.8,255.26,0.17
2023,1,19,12,95.65,6.5,185.36,253.31,0.66
2023,1,19,13,95.62,6.6,105.06,252.64,0.77
2023,1,19,14,95.62,6.54,101.11,252.99,0.51
2023,1,19,15,95.64,5.84,36.24,250.79,-0.29
2023,1,19,16,95.67,5.93,19.8,249.18,-1.55
2023,1,19,17,95.7,6.2,0.0,249.94,-1.81
2023,1,19,18,95.73,6.2,0.0,250.33,-2.02
2023,1,19,19,95.75,6.11,0.0,252.12,-2.17
